event_id,date,journey_id,step_name,step_type,callers_entered,callers_completed,drop_off_callers,no_match_callers,no_input_callers,transferred_callers,avg_step_seconds
EVT00056,2026-04-01,JRN010,Agent transfer,Routing,1350,1215,108,10,5,27,131
EVT00057,2026-04-01,JRN011,Greeting and language,Menu,2140,2033,73,19,60,34,36
EVT00058,2026-04-01,JRN011,Caller authentication,Authentication,2033,1962,53,24,4,18,43
EVT00059,2026-04-01,JRN011,Intent capture,Speech recognition,1962,1713,205,107,84,44,70
EVT00060,2026-04-01,JRN011,Eligibility or account lookup,Integration,1713,1524,155,14,8,34,77
EVT00061,2026-04-01,JRN011,Self-service resolution,Automation,1524,1403,111,6,12,10,102
EVT00062,2026-04-01,JRN011,Agent transfer,Routing,1403,1259,138,4,1,6,144
EVT00063,2026-04-01,JRN012,Greeting and language,Menu,1618,1577,26,17,54,15,43
EVT00064,2026-04-01,JRN012,Caller authentication,Authentication,1577,1473,74,6,11,30,54
EVT00065,2026-04-01,JRN012,Intent capture,Speech recognition,1473,1325,140,83,64,8,74
EVT00066,2026-04-01,JRN012,Eligibility or account lookup,Integration,1325,1207,107,14,10,11,83
EVT00067,2026-04-01,JRN012,Self-service resolution,Automation,1207,1110,88,11,4,9,123
EVT00068,2026-04-01,JRN012,Agent transfer,Routing,1110,1016,89,3,6,5,143
EVT00069,2026-04-01,JRN013,Greeting and language,Menu,2520,2332,177,27,117,11,39
EVT00070,2026-04-01,JRN013,Caller authentication,Authentication,2332,2175,148,23,12,9,68
EVT00071,2026-04-01,JRN013,Intent capture,Speech recognition,2175,1897,248,100,69,30,70
EVT00072,2026-04-01,JRN013,Eligibility or account lookup,Integration,1897,1665,203,5,13,29,99
EVT00073,2026-04-01,JRN013,Self-service resolution,Automation,1665,1465,183,9,7,17,113
EVT00074,2026-04-01,JRN013,Agent transfer,Routing,1465,1272,177,8,5,16,132
EVT00075,2026-04-01,JRN014,Greeting and language,Menu,2752,2605,108,26,97,39,28
EVT00076,2026-04-01,JRN014,Intent capture,Speech recognition,2605,2317,272,138,130,16,63
EVT00077,2026-04-01,JRN014,Eligibility or account lookup,Integration,2317,2038,235,12,15,44,88
EVT00078,2026-04-01,JRN014,Self-service resolution,Automation,2038,1850,170,8,12,18,106
EVT00079,2026-04-01,JRN014,Agent transfer,Routing,1850,1693,147,4,2,10,124
EVT00080,2026-04-01,JRN015,Greeting and language,Menu,828,786,30,8,29,12,39
EVT00081,2026-04-01,JRN015,Caller authentication,Authentication,786,729,43,2,1,14,52
EVT00082,2026-04-01,JRN015,Intent capture,Speech recognition,729,649,76,30,34,4,70
EVT00083,2026-04-01,JRN015,Eligibility or account lookup,Integration,649,574,63,6,2,12,87
EVT00084,2026-04-01,JRN015,Self-service resolution,Automation,574,524,41,3,4,9,93
EVT00085,2026-04-01,JRN015,Agent transfer,Routing,524,472,49,4,1,3,123
EVT00086,2026-04-01,JRN016,Greeting and language,Menu,1331,1263,38,6,52,30,22
EVT00087,2026-04-01,JRN016,Intent capture,Speech recognition,1263,1139,112,42,46,12,62
EVT00088,2026-04-01,JRN016,Eligibility or account lookup,Integration,1139,1017,112,6,9,10,90
EVT00089,2026-04-01,JRN016,Self-service resolution,Automation,1017,921,88,3,2,8,113
EVT00090,2026-04-01,JRN016,Agent transfer,Routing,921,831,74,10,7,16,112
EVT00091,2026-04-01,JRN017,Greeting and language,Menu,2311,2235,57,17,73,19,33
EVT00092,2026-04-01,JRN017,Intent capture,Speech recognition,2235,1966,225,158,92,44,74
EVT00093,2026-04-01,JRN017,Eligibility or account lookup,Integration,1966,1743,175,12,8,48,89
EVT00094,2026-04-01,JRN017,Self-service resolution,Automation,1743,1597,123,9,6,23,128
EVT00095,2026-04-01,JRN017,Agent transfer,Routing,1597,1449,135,6,7,13,128
EVT00096,2026-04-01,JRN018,Greeting and language,Menu,1558,1490,35,12,61,33,48
EVT00097,2026-04-01,JRN018,Caller authentication,Authentication,1490,1440,41,4,10,9,37
EVT00098,2026-04-01,JRN018,Intent capture,Speech recognition,1440,1273,158,93,60,9,79
EVT00099,2026-04-01,JRN018,Eligibility or account lookup,Integration,1273,1163,99,8,1,11,97
EVT00100,2026-04-01,JRN018,Self-service resolution,Automation,1163,1056,102,10,7,5,99
EVT00101,2026-04-01,JRN018,Agent transfer,Routing,1056,948,82,5,1,26,130
EVT00102,2026-04-01,JRN019,Greeting and language,Menu,2893,2704,124,32,128,65,38
EVT00103,2026-04-01,JRN019,Caller authentication,Authentication,2704,2522,170,13,20,12,44
EVT00104,2026-04-01,JRN019,Intent capture,Speech recognition,2522,2140,328,97,90,54,79
EVT00105,2026-04-01,JRN019,Eligibility or account lookup,Integration,2140,1859,262,14,5,19,102
EVT00106,2026-04-01,JRN019,Self-service resolution,Automation,1859,1644,191,10,4,24,91
EVT00107,2026-04-01,JRN019,Agent transfer,Routing,1644,1440,184,14,12,20,134
EVT00108,2026-04-01,JRN020,Greeting and language,Menu,1070,1015,41,9,31,14,27
EVT00109,2026-04-01,JRN020,Caller authentication,Authentication,1015,947,46,2,1,22,70
EVT00110,2026-04-01,JRN020,Intent capture,Speech recognition,947,857,81,58,29,9,94
EVT00111,2026-04-01,JRN020,Eligibility or account lookup,Integration,857,773,74,3,4,10,101
EVT00112,2026-04-01,JRN020,Self-service resolution,Automation,773,697,62,7,2,14,104
EVT00113,2026-04-01,JRN020,Agent transfer,Routing,697,620,69,5,2,8,127
EVT00114,2026-04-01,JRN021,Greeting and language,Menu,3308,3113,126,33,112,69,13
EVT00115,2026-04-01,JRN021,Caller authentication,Authentication,3113,2897,151,33,14,65,57
EVT00116,2026-04-01,JRN021,Intent capture,Speech recognition,2897,2526,302,177,119,69,72
EVT00117,2026-04-01,JRN021,Eligibility or account lookup,Integration,2526,2297,208,27,5,21,74
EVT00118,2026-04-01,JRN021,Self-service resolution,Automation,2297,2142,146,24,8,9,116
EVT00119,2026-04-01,JRN021,Agent transfer,Routing,2142,1940,188,10,5,14,136
EVT00120,2026-04-01,JRN022,Greeting and language,Menu,2677,2587,63,14,107,27,34
EVT00121,2026-04-01,JRN022,Intent capture,Speech recognition,2587,2348,220,165,127,19,79
EVT00122,2026-04-01,JRN022,Eligibility or account lookup,Integration,2348,2080,241,22,7,27,100
EVT00123,2026-04-01,JRN022,Self-service resolution,Automation,2080,1906,159,16,17,15,111
EVT00124,2026-04-01,JRN022,Agent transfer,Routing,1906,1748,141,22,10,17,116
EVT00125,2026-04-01,JRN023,Greeting and language,Menu,1130,1079,24,2,44,27,33
EVT00126,2026-04-01,JRN023,Caller authentication,Authentication,1079,1036,29,11,4,14,60
EVT00127,2026-04-01,JRN023,Intent capture,Speech recognition,1036,914,113,68,30,9,65
EVT00128,2026-04-01,JRN023,Eligibility or account lookup,Integration,914,804,94,9,6,16,83
EVT00129,2026-04-01,JRN023,Self-service resolution,Automation,804,739,49,3,2,16,106
EVT00130,2026-04-01,JRN023,Agent transfer,Routing,739,677,59,1,1,3,132
EVT00131,2026-04-01,JRN024,Greeting and language,Menu,921,837,64,10,22,20,32
EVT00132,2026-04-01,JRN024,Intent capture,Speech recognition,837,713,113,53,34,11,58
EVT00133,2026-04-01,JRN024,Eligibility or account lookup,Integration,713,611,88,5,3,14,102
EVT00134,2026-04-01,JRN024,Self-service resolution,Automation,611,539,62,5,1,10,95
EVT00135,2026-04-01,JRN024,Agent transfer,Routing,539,480,55,3,1,4,125
EVT00136,2026-04-01,JRN025,Greeting and language,Menu,3405,3132,241,31,96,32,33
EVT00137,2026-04-01,JRN025,Caller authentication,Authentication,3132,2858,212,29,12,62,57
EVT00138,2026-04-01,JRN025,Intent capture,Speech recognition,2858,2466,344,208,119,48,76
EVT00139,2026-04-01,JRN025,Eligibility or account lookup,Integration,2466,2184,272,28,21,10,93
EVT00140,2026-04-01,JRN025,Self-service resolution,Automation,2184,1920,249,20,6,15,110
EVT00141,2026-04-01,JRN025,Agent transfer,Routing,1920,1667,226,19,10,27,121
EVT00142,2026-04-01,JRN026,Greeting and language,Menu,2673,2558,97,14,70,18,35
EVT00143,2026-04-01,JRN026,Caller authentication,Authentication,2558,2425,125,19,7,8,65
EVT00144,2026-04-01,JRN026,Intent capture,Speech recognition,2425,2154,256,88,62,15,64
EVT00145,2026-04-01,JRN026,Eligibility or account lookup,Integration,2154,1949,176,21,11,29,101
EVT00146,2026-04-01,JRN026,Self-service resolution,Automation,1949,1805,120,20,14,24,104
EVT00147,2026-04-01,JRN026,Agent transfer,Routing,1805,1618,175,17,7,12,122
EVT00148,2026-04-01,JRN027,Greeting and language,Menu,3318,3153,101,29,163,64,43
EVT00149,2026-04-01,JRN027,Caller authentication,Authentication,3153,2970,152,23,14,31,36
EVT00150,2026-04-01,JRN027,Intent capture,Speech recognition,2970,2673,276,204,74,21,70
EVT00151,2026-04-01,JRN027,Eligibility or account lookup,Integration,2673,2362,259,15,9,52,90
EVT00152,2026-04-01,JRN027,Self-service resolution,Automation,2362,2204,144,12,11,14,117
EVT00153,2026-04-01,JRN027,Agent transfer,Routing,2204,1960,211,17,10,33,134
EVT00154,2026-04-01,JRN028,Greeting and language,Menu,2524,2440,41,25,112,43,29
EVT00155,2026-04-01,JRN028,Intent capture,Speech recognition,2440,2213,218,132,85,9,86
EVT00156,2026-04-01,JRN028,Eligibility or account lookup,Integration,2213,1953,214,26,14,46,102
EVT00157,2026-04-01,JRN028,Self-service resolution,Automation,1953,1728,177,9,15,48,117
EVT00158,2026-04-01,JRN028,Agent transfer,Routing,1728,1571,151,16,7,6,127
EVT00159,2026-04-01,JRN029,Greeting and language,Menu,1763,1708,27,5,66,28,38
EVT00160,2026-04-01,JRN029,Caller authentication,Authentication,1708,1628,47,5,15,33,51
EVT00161,2026-04-01,JRN029,Intent capture,Speech recognition,1628,1461,161,91,42,6,75
EVT00162,2026-04-01,JRN029,Eligibility or account lookup,Integration,1461,1302,126,14,10,33,102
EVT00163,2026-04-01,JRN029,Self-service resolution,Automation,1302,1158,115,13,6,29,116
EVT00164,2026-04-01,JRN029,Agent transfer,Routing,1158,1024,107,3,4,27,122
EVT00165,2026-04-01,JRN030,Greeting and language,Menu,3985,3780,182,21,172,23,49
EVT00166,2026-04-01,JRN030,Intent capture,Speech recognition,3780,3279,423,259,94,78,82
EVT00167,2026-04-01,JRN030,Eligibility or account lookup,Integration,3279,2812,390,10,7,77,95
EVT00168,2026-04-01,JRN030,Self-service resolution,Automation,2812,2477,284,10,23,51,106
EVT00169,2026-04-01,JRN030,Agent transfer,Routing,2477,2168,262,25,11,47,138
EVT00170,2026-04-01,JRN031,Greeting and language,Menu,1194,1136,44,10,36,14,27
EVT00171,2026-04-01,JRN031,Intent capture,Speech recognition,1136,1009,112,70,52,15,57
EVT00172,2026-04-01,JRN031,Eligibility or account lookup,Integration,1009,914,84,6,5,11,94
EVT00173,2026-04-01,JRN031,Self-service resolution,Automation,914,841,59,10,3,14,104
EVT00174,2026-04-01,JRN031,Agent transfer,Routing,841,758,68,6,6,15,128
EVT00175,2026-04-01,JRN032,Greeting and language,Menu,3287,3182,42,10,129,63,30
EVT00176,2026-04-01,JRN032,Caller authentication,Authentication,3182,2999,157,24,27,26,43
EVT00177,2026-04-01,JRN032,Intent capture,Speech recognition,2999,2678,309,126,91,12,79
EVT00178,2026-04-01,JRN032,Eligibility or account lookup,Integration,2678,2387,283,12,5,8,94
EVT00179,2026-04-01,JRN032,Self-service resolution,Automation,2387,2199,160,7,15,28,105
EVT00180,2026-04-01,JRN032,Agent transfer,Routing,2199,2005,170,18,4,24,136
EVT00181,2026-04-01,JRN033,Greeting and language,Menu,1482,1408,42,7,61,32,32
EVT00182,2026-04-01,JRN033,Caller authentication,Authentication,1408,1343,41,8,3,24,58
EVT00183,2026-04-01,JRN033,Intent capture,Speech recognition,1343,1210,129,59,33,4,70
EVT00184,2026-04-01,JRN033,Eligibility or account lookup,Integration,1210,1096,109,3,9,5,84
EVT00185,2026-04-01,JRN033,Self-service resolution,Automation,1096,1006,80,11,2,10,111
EVT00186,2026-04-01,JRN033,Agent transfer,Routing,1006,906,86,2,7,14,122
EVT00187,2026-04-01,JRN034,Greeting and language,Menu,2497,2320,155,16,104,22,26
EVT00188,2026-04-01,JRN034,Caller authentication,Authentication,2320,2175,138,9,19,7,54
EVT00189,2026-04-01,JRN034,Intent capture,Speech recognition,2175,1866,258,114,64,51,53
EVT00190,2026-04-01,JRN034,Eligibility or account lookup,Integration,1866,1628,205,17,9,33,89
EVT00191,2026-04-01,JRN034,Self-service resolution,Automation,1628,1436,161,13,12,31,120
EVT00192,2026-04-01,JRN034,Agent transfer,Routing,1436,1221,186,6,4,29,130
EVT00193,2026-04-01,JRN035,Greeting and language,Menu,2760,2639,81,22,123,40,22
EVT00194,2026-04-01,JRN035,Caller authentication,Authentication,2639,2543,80,18,13,16,66
EVT00195,2026-04-01,JRN035,Intent capture,Speech recognition,2543,2242,267,126,83,34,73
EVT00196,2026-04-01,JRN035,Eligibility or account lookup,Integration,2242,2030,185,20,15,27,88
EVT00197,2026-04-01,JRN035,Self-service resolution,Automation,2030,1863,135,12,15,32,103
EVT00198,2026-04-01,JRN035,Agent transfer,Routing,1863,1683,167,5,8,13,129
EVT00199,2026-04-01,JRN036,Greeting and language,Menu,1517,1422,80,10,45,15,36
EVT00200,2026-04-01,JRN036,Intent capture,Speech recognition,1422,1255,159,51,55,8,91
EVT00201,2026-04-01,JRN036,Eligibility or account lookup,Integration,1255,1088,149,3,5,18,90
EVT00202,2026-04-01,JRN036,Self-service resolution,Automation,1088,949,131,8,7,8,106
EVT00203,2026-04-01,JRN036,Agent transfer,Routing,949,843,103,5,1,3,125
EVT00204,2026-04-01,JRN037,Greeting and language,Menu,1634,1538,84,12,58,12,30
EVT00205,2026-04-01,JRN037,Caller authentication,Authentication,1538,1426,90,15,11,22,57
EVT00206,2026-04-01,JRN037,Intent capture,Speech recognition,1426,1215,186,90,35,25,60
EVT00207,2026-04-01,JRN037,Eligibility or account lookup,Integration,1215,1035,155,2,9,25,88
EVT00208,2026-04-01,JRN037,Self-service resolution,Automation,1035,930,100,6,3,5,94
EVT00209,2026-04-01,JRN037,Agent transfer,Routing,930,817,103,5,3,10,119
EVT00210,2026-04-01,JRN038,Greeting and language,Menu,2461,2420,33,7,99,8,37
EVT00211,2026-04-01,JRN038,Intent capture,Speech recognition,2420,2156,218,96,67,46,71
EVT00212,2026-04-01,JRN038,Eligibility or account lookup,Integration,2156,1940,179,7,10,37,85
EVT00213,2026-04-01,JRN038,Self-service resolution,Automation,1940,1765,131,6,3,44,113
EVT00214,2026-04-01,JRN038,Agent transfer,Routing,1765,1579,175,8,11,11,139
EVT00215,2026-04-01,JRN039,Greeting and language,Menu,1115,1069,30,2,37,16,40
EVT00216,2026-04-01,JRN039,Caller authentication,Authentication,1069,1000,48,11,1,21,54
EVT00217,2026-04-01,JRN039,Intent capture,Speech recognition,1000,907,85,42,45,8,76
EVT00218,2026-04-01,JRN039,Eligibility or account lookup,Integration,907,803,83,6,5,21,106
EVT00219,2026-04-01,JRN039,Self-service resolution,Automation,803,727,71,9,6,5,102
EVT00220,2026-04-01,JRN039,Agent transfer,Routing,727,636,74,5,4,17,119
EVT00221,2026-04-01,JRN040,Greeting and language,Menu,3605,3338,240,17,110,27,32
EVT00222,2026-04-01,JRN040,Caller authentication,Authentication,3338,3104,185,20,13,49,39
EVT00223,2026-04-01,JRN040,Intent capture,Speech recognition,3104,2615,433,211,83,56,76
EVT00224,2026-04-01,JRN040,Eligibility or account lookup,Integration,2615,2246,334,30,4,35,87
EVT00225,2026-04-01,JRN040,Self-service resolution,Automation,2246,1968,265,17,15,13,100
EVT00226,2026-04-01,JRN040,Agent transfer,Routing,1968,1725,216,6,16,27,127
EVT00227,2026-04-01,JRN041,Greeting and language,Menu,2953,2851,59,22,96,43,23
EVT00228,2026-04-01,JRN041,Caller authentication,Authentication,2851,2739,93,15,5,19,38
EVT00229,2026-04-01,JRN041,Intent capture,Speech recognition,2739,2452,241,178,81,46,78
EVT00230,2026-04-01,JRN041,Eligibility or account lookup,Integration,2452,2180,226,20,3,46,78
EVT00231,2026-04-01,JRN041,Self-service resolution,Automation,2180,1979,154,7,6,47,106
EVT00232,2026-04-01,JRN041,Agent transfer,Routing,1979,1794,146,19,14,39,123
EVT00233,2026-04-01,JRN042,Greeting and language,Menu,1969,1804,127,5,55,38,31
EVT00234,2026-04-01,JRN042,Intent capture,Speech recognition,1804,1543,239,94,81,22,69
EVT00235,2026-04-01,JRN042,Eligibility or account lookup,Integration,1543,1311,206,13,2,26,92
EVT00236,2026-04-01,JRN042,Self-service resolution,Automation,1311,1179,125,7,5,7,109
EVT00237,2026-04-01,JRN042,Agent transfer,Routing,1179,1016,153,9,8,10,141
EVT00238,2026-04-02,JRN001,Greeting and language,Menu,3318,3071,202,25,120,45,36
EVT00239,2026-04-02,JRN001,Caller authentication,Authentication,3071,2824,185,29,15,62,51
EVT00240,2026-04-02,JRN001,Intent capture,Speech recognition,2824,2445,342,146,105,37,74
EVT00241,2026-04-02,JRN001,Eligibility or account lookup,Integration,2445,2094,310,26,9,41,91
EVT00242,2026-04-02,JRN001,Self-service resolution,Automation,2094,1885,196,19,6,13,107
EVT00243,2026-04-02,JRN001,Agent transfer,Routing,1885,1622,217,18,9,46,131
EVT00244,2026-04-02,JRN002,Greeting and language,Menu,969,930,21,3,37,18,35
EVT00245,2026-04-02,JRN002,Intent capture,Speech recognition,930,828,91,32,33,11,72
EVT00246,2026-04-02,JRN002,Eligibility or account lookup,Integration,828,729,79,5,3,20,101
EVT00247,2026-04-02,JRN002,Self-service resolution,Automation,729,653,61,7,6,15,105
EVT00248,2026-04-02,JRN002,Agent transfer,Routing,653,591,48,6,5,14,128
EVT00249,2026-04-02,JRN003,Greeting and language,Menu,703,648,49,7,30,6,43
EVT00250,2026-04-02,JRN003,Intent capture,Speech recognition,648,553,86,46,26,9,55
EVT00251,2026-04-02,JRN003,Eligibility or account lookup,Integration,553,487,63,2,3,3,93
EVT00252,2026-04-02,JRN003,Self-service resolution,Automation,487,426,53,2,1,8,115
EVT00253,2026-04-02,JRN003,Agent transfer,Routing,426,367,52,3,2,7,135
EVT00254,2026-04-02,JRN004,Greeting and language,Menu,3253,3022,168,7,152,63,28
EVT00255,2026-04-02,JRN004,Caller authentication,Authentication,3022,2807,178,27,23,37,69
EVT00256,2026-04-02,JRN004,Intent capture,Speech recognition,2807,2440,335,144,70,32,84
EVT00257,2026-04-02,JRN004,Eligibility or account lookup,Integration,2440,2052,330,20,5,58,86
EVT00258,2026-04-02,JRN004,Self-service resolution,Automation,2052,1774,240,7,14,38,114
EVT00259,2026-04-02,JRN004,Agent transfer,Routing,1774,1560,202,13,4,12,137
EVT00260,2026-04-02,JRN005,Greeting and language,Menu,551,522,18,3,17,11,40
EVT00261,2026-04-02,JRN005,Caller authentication,Authentication,522,493,28,3,4,1,45
EVT00262,2026-04-02,JRN005,Intent capture,Speech recognition,493,441,43,18,14,9,57
EVT00263,2026-04-02,JRN005,Eligibility or account lookup,Integration,441,397,37,4,0,7,89
EVT00264,2026-04-02,JRN005,Self-service resolution,Automation,397,362,32,3,1,3,93
EVT00265,2026-04-02,JRN005,Agent transfer,Routing,362,325,29,1,0,8,109
EVT00266,2026-04-02,JRN006,Greeting and language,Menu,1461,1411,42,11,68,8,29
EVT00267,2026-04-02,JRN006,Caller authentication,Authentication,1411,1338,66,14,10,7,50
EVT00268,2026-04-02,JRN006,Intent capture,Speech recognition,1338,1205,128,91,36,5,63
EVT00269,2026-04-02,JRN006,Eligibility or account lookup,Integration,1205,1056,128,5,2,21,86
EVT00270,2026-04-02,JRN006,Self-service resolution,Automation,1056,960,84,12,1,12,110
EVT00271,2026-04-02,JRN006,Agent transfer,Routing,960,871,71,2,1,18,129
EVT00272,2026-04-02,JRN007,Greeting and language,Menu,1736,1571,124,20,45,41,42
EVT00273,2026-04-02,JRN007,Caller authentication,Authentication,1571,1415,120,11,1,36,42
EVT00274,2026-04-02,JRN007,Intent capture,Speech recognition,1415,1226,167,48,63,22,67
EVT00275,2026-04-02,JRN007,Eligibility or account lookup,Integration,1226,1071,151,12,6,4,98
EVT00276,2026-04-02,JRN007,Self-service resolution,Automation,1071,938,119,5,6,14,108
EVT00277,2026-04-02,JRN007,Agent transfer,Routing,938,804,113,10,7,21,114
EVT00278,2026-04-02,JRN008,Greeting and language,Menu,2255,2150,55,18,74,50,25
EVT00279,2026-04-02,JRN008,Intent capture,Speech recognition,2150,1922,181,122,96,47,65
EVT00280,2026-04-02,JRN008,Eligibility or account lookup,Integration,1922,1740,154,9,5,28,82
EVT00281,2026-04-02,JRN008,Self-service resolution,Automation,1740,1573,124,3,3,43,115
EVT00282,2026-04-02,JRN008,Agent transfer,Routing,1573,1442,122,6,9,9,142
EVT00283,2026-04-02,JRN009,Greeting and language,Menu,2004,1951,46,5,61,7,40
EVT00284,2026-04-02,JRN009,Caller authentication,Authentication,1951,1831,92,18,3,28,55
EVT00285,2026-04-02,JRN009,Intent capture,Speech recognition,1831,1646,170,61,81,15,71
EVT00286,2026-04-02,JRN009,Eligibility or account lookup,Integration,1646,1443,172,10,14,31,87
EVT00287,2026-04-02,JRN009,Self-service resolution,Automation,1443,1289,120,9,11,34,109
EVT00288,2026-04-02,JRN009,Agent transfer,Routing,1289,1131,130,13,1,28,123
EVT00289,2026-04-02,JRN010,Greeting and language,Menu,1826,1749,57,18,80,20,32
EVT00290,2026-04-02,JRN010,Intent capture,Speech recognition,1749,1523,192,72,85,34,69
EVT00291,2026-04-02,JRN010,Eligibility or account lookup,Integration,1523,1377,128,8,2,18,82
EVT00292,2026-04-02,JRN010,Self-service resolution,Automation,1377,1262,88,11,6,27,107
EVT00293,2026-04-02,JRN010,Agent transfer,Routing,1262,1128,116,4,3,18,127
EVT00294,2026-04-02,JRN011,Greeting and language,Menu,2681,2635,38,11,126,8,25
EVT00295,2026-04-02,JRN011,Caller authentication,Authentication,2635,2508,81,13,12,46,51
EVT00296,2026-04-02,JRN011,Intent capture,Speech recognition,2508,2251,247,172,69,10,72
EVT00297,2026-04-02,JRN011,Eligibility or account lookup,Integration,2251,2000,222,5,14,29,98
EVT00298,2026-04-02,JRN011,Self-service resolution,Automation,2000,1815,163,16,2,22,98
EVT00299,2026-04-02,JRN011,Agent transfer,Routing,1815,1633,176,8,4,6,124
EVT00300,2026-04-02,JRN012,Greeting and language,Menu,2052,1952,62,7,89,38,33
EVT00301,2026-04-02,JRN012,Caller authentication,Authentication,1952,1837,85,16,13,30,43
EVT00302,2026-04-02,JRN012,Intent capture,Speech recognition,1837,1642,166,101,72,29,81
