request_id,journey_id,stakeholder,ask_type,requested_output,sla_hours,business_question
REQ0078,JRN036,BI product owner,journey map annotation,decision memo,24,Where should we improve the technical troubleshooting flow first?
REQ0079,JRN037,IVR architect,journey map annotation,Tableau view,48,Where should we improve the service cancellation flow first?
REQ0080,JRN038,Client operations sponsor,Excel export,Excel workbook,72,Where should we improve the new service quote flow first?
REQ0081,JRN039,CX design lead,Tableau drilldown,decision memo,8,Where should we improve the prescription refill flow first?
REQ0082,JRN040,Contact center director,journey map annotation,Tableau view,24,Where should we improve the fraud alert review flow first?
REQ0083,JRN041,BI product owner,journey map annotation,Excel workbook,48,Where should we improve the document request flow first?
REQ0084,JRN042,IVR architect,Tableau drilldown,decision memo,72,Where should we improve the agent callback flow first?
REQ0085,JRN001,Client operations sponsor,SQL validation,Tableau view,8,Where should we improve the payment arrangement flow first?
REQ0086,JRN002,CX design lead,journey map annotation,Excel workbook,24,Where should we improve the outage status flow first?
REQ0087,JRN003,Contact center director,root-cause brief,decision memo,48,Where should we improve the order status flow first?
REQ0088,JRN004,BI product owner,journey map annotation,Tableau view,72,Where should we improve the appointment reschedule flow first?
REQ0089,JRN005,IVR architect,Excel export,Excel workbook,8,Where should we improve the password reset flow first?
REQ0090,JRN006,Client operations sponsor,Excel export,decision memo,24,Where should we improve the claims status flow first?
