journey_id,journey_name,intent,business_domain,owner_team,entry_channel,ivr_platform,auth_required,complexity,baseline_daily_calls,target_containment_rate,baseline_containment_rate,baseline_transfer_rate,estimated_transfer_cost
JRN031,Order status flow 3,Order status,Fulfillment,Customer Care,branch transfer,Genesys Cloud,No,Low,1145,0.676,0.653,0.097,6.67
JRN032,Appointment reschedule flow 3,Appointment reschedule,Field Service,Scheduling,web callback,Avaya Aura,Yes,Low,3104,0.54,0.438,0.214,7.56
JRN033,Password reset flow 3,Password reset,Digital Support,Account Services,toll-free,Nuance Mix,Yes,Moderate,1443,0.8,0.702,0.107,5.99
JRN034,Claims status flow 3,Claims status,Claims,Customer Care,mobile click-to-call,Genesys Cloud,Yes,High,2739,0.512,0.412,0.186,4.44
JRN035,Benefits eligibility flow 3,Benefits eligibility,Member Services,Member Care,branch transfer,Avaya Aura,Yes,Low,2888,0.556,0.469,0.137,7.13
JRN036,Technical troubleshooting flow 3,Technical troubleshooting,Support,Service Desk,web callback,Nuance Mix,No,High,1557,0.415,0.314,0.263,6.61
JRN037,Service cancellation flow 3,Service cancellation,Retention,Customer Care,toll-free,Genesys Cloud,Yes,High,1760,0.397,0.278,0.283,8.47
JRN038,New service quote flow 3,New service quote,Sales,Inside Sales,mobile click-to-call,Avaya Aura,No,Moderate,2958,0.5,0.392,0.247,6.14
JRN039,Prescription refill flow 3,Prescription refill,Pharmacy,Member Care,branch transfer,Nuance Mix,Yes,Moderate,1006,0.687,0.636,0.112,6.4
JRN040,Fraud alert review flow 3,Fraud alert review,Risk,Account Services,web callback,Genesys Cloud,Yes,High,3606,0.404,0.385,0.305,4.62
JRN041,Document request flow 3,Document request,Back Office,Customer Care,toll-free,Avaya Aura,Yes,Low,3602,0.624,0.612,0.125,5.19
JRN042,Agent callback flow 3,Agent callback,Support,Service Desk,mobile click-to-call,Nuance Mix,No,High,2457,0.45,0.364,0.236,8.2
