date,journey_id,offered_calls,contained_calls,transferred_calls,abandoned_calls,repeat_calls_7d,avg_ivr_seconds,avg_agent_handle_seconds,containment_rate,transfer_rate,abandon_rate,no_match_rate,no_input_rate,auth_fail_rate,repeat_call_rate,data_quality_score,tableau_refresh_status
2026-04-02,JRN003,761,407,93,122,75,219,509,0.536,0.1235,0.1606,0.0857,0.0673,0.0059,0.099,82.1,Complete
2026-04-02,JRN004,3771,1692,570,605,430,217,515,0.4488,0.1512,0.1607,0.0859,0.0518,0.0776,0.1141,78.8,Complete
2026-04-02,JRN005,572,388,62,47,59,157,484,0.6798,0.1093,0.0831,0.0591,0.0326,0.0569,0.1041,85.5,Complete
2026-04-02,JRN006,1332,596,281,134,157,151,588,0.4478,0.2115,0.1009,0.0639,0.0362,0.0656,0.1182,82.3,Complete
2026-04-02,JRN007,2259,1225,444,315,269,173,496,0.5423,0.1966,0.1394,0.0711,0.0519,0.0623,0.1194,79.2,Late
2026-04-02,JRN008,1964,610,541,157,230,178,446,0.3109,0.2757,0.0802,0.0642,0.0528,0.0247,0.1172,85.2,Complete
2026-04-02,JRN009,1780,608,482,137,244,158,466,0.3419,0.2709,0.0773,0.049,0.0351,0.0586,0.1376,83.1,Complete
2026-04-02,JRN010,1809,900,545,115,252,197,536,0.4979,0.3017,0.064,0.0414,0.0418,0.0067,0.1396,85.9,Complete
2026-04-02,JRN011,2836,1725,344,194,253,210,473,0.6083,0.1214,0.0687,0.0555,0.0593,0.0637,0.0893,80.1,Complete
2026-04-02,JRN012,1950,694,422,214,224,206,469,0.3563,0.2169,0.1098,0.0666,0.0402,0.0736,0.1149,79.4,Complete
2026-04-02,JRN013,2475,1277,338,346,311,197,534,0.5162,0.1369,0.14,0.0909,0.0411,0.078,0.126,79.2,Complete
2026-04-02,JRN014,3209,1158,671,308,416,153,450,0.361,0.2093,0.0963,0.0684,0.0411,0.0297,0.1298,80.7,Complete
2026-04-02,JRN015,1018,456,146,115,91,204,524,0.4489,0.144,0.113,0.044,0.0699,0.0505,0.0896,84.5,Complete
2026-04-02,JRN016,1170,818,135,91,120,97,436,0.6993,0.1156,0.078,0.0529,0.0339,0.0099,0.1032,85.3,Complete
2026-04-02,JRN017,2921,1906,392,249,269,139,517,0.6527,0.1342,0.0856,0.0615,0.0389,0.0068,0.0921,84.0,Complete
2026-04-02,JRN018,1588,705,336,140,171,144,478,0.444,0.2116,0.0885,0.0419,0.0398,0.0517,0.1082,84.9,Complete
2026-04-02,JRN019,2923,1899,431,415,316,222,483,0.6498,0.1477,0.1422,0.0885,0.0599,0.0675,0.1081,77.3,Complete
2026-04-02,JRN020,899,439,161,67,90,200,450,0.4889,0.1801,0.0746,0.0432,0.0547,0.0796,0.1009,82.2,Complete
2026-04-02,JRN021,2943,1412,413,271,258,252,475,0.4798,0.1405,0.0922,0.0518,0.0391,0.071,0.0879,85.1,Complete
2026-04-02,JRN022,2517,1044,864,236,399,163,458,0.4149,0.3435,0.0938,0.0683,0.0499,0.025,0.1586,81.2,Complete
2026-04-02,JRN023,1104,328,347,93,157,179,542,0.2976,0.3149,0.0845,0.0614,0.0513,0.0529,0.1425,84.2,Complete
2026-04-02,JRN024,1127,415,196,187,142,241,488,0.3688,0.1742,0.1659,0.0778,0.042,0.006,0.1261,83.3,Complete
2026-04-02,JRN025,3533,2410,420,595,373,249,559,0.6823,0.1191,0.1685,0.0769,0.0529,0.0741,0.1058,80.7,Complete
2026-04-02,JRN026,3448,1375,1079,234,472,163,499,0.3989,0.3132,0.0679,0.0664,0.0454,0.0527,0.1369,82.5,Complete
2026-04-02,JRN027,3741,2294,754,343,487,147,442,0.6133,0.2017,0.0917,0.0612,0.0593,0.0686,0.1304,79.8,Complete
2026-04-02,JRN028,3482,1183,1034,275,502,166,496,0.3398,0.2971,0.0792,0.0445,0.0331,0.0011,0.1445,87.0,Complete
2026-04-02,JRN029,1726,917,363,128,211,181,492,0.5314,0.2108,0.0743,0.0586,0.0494,0.0766,0.1226,78.9,Complete
2026-04-02,JRN030,3141,1966,365,455,319,256,475,0.6261,0.1162,0.145,0.0751,0.0407,0.0294,0.1016,84.7,Complete
2026-04-02,JRN031,1091,756,130,59,90,220,401,0.6934,0.1197,0.0541,0.0474,0.0633,0.0291,0.0834,82.1,Complete
2026-04-02,JRN032,3989,1641,945,298,523,171,423,0.4115,0.2371,0.0749,0.0586,0.0515,0.057,0.1312,83.0,Complete
2026-04-02,JRN033,1910,1347,244,152,217,159,451,0.7056,0.1279,0.0799,0.067,0.0352,0.0607,0.1137,83.2,Complete
2026-04-02,JRN034,2710,1025,489,352,322,215,521,0.3784,0.1805,0.1301,0.0699,0.0428,0.0609,0.1189,80.7,Complete
2026-04-02,JRN035,2788,1347,343,220,260,111,500,0.4833,0.1231,0.079,0.0419,0.072,0.0754,0.0934,81.5,Complete
2026-04-02,JRN036,1726,603,432,227,235,201,555,0.3499,0.2505,0.1317,0.0718,0.047,0.0176,0.1364,84.0,Complete
2026-04-02,JRN037,1554,473,397,240,212,237,551,0.3044,0.256,0.1545,0.0943,0.0452,0.076,0.1366,76.4,Complete
2026-04-02,JRN038,2740,1130,640,244,323,165,478,0.4127,0.2339,0.0891,0.0486,0.0549,0.0206,0.1182,84.8,Complete
2026-04-02,JRN039,1002,603,81,118,104,141,485,0.6027,0.0812,0.118,0.0579,0.0641,0.0623,0.1043,78.8,Late
2026-04-02,JRN040,3455,1264,1008,447,525,216,565,0.3659,0.2919,0.1297,0.0832,0.0357,0.0645,0.1522,82.2,Complete
2026-04-02,JRN041,3551,2150,459,300,376,182,426,0.6056,0.1293,0.0845,0.0597,0.0482,0.0667,0.1061,83.9,Complete
2026-04-02,JRN042,2109,724,536,351,290,260,548,0.3436,0.2544,0.1665,0.0785,0.0364,0.0043,0.1378,81.3,Complete
2026-04-03,JRN001,3606,1964,579,476,424,251,526,0.5449,0.1608,0.1321,0.0773,0.0398,0.0782,0.1177,78.6,Late
2026-04-03,JRN002,994,674,64,93,90,150,462,0.6783,0.065,0.0941,0.0592,0.0419,0.0065,0.0909,84.1,Complete
2026-04-03,JRN003,658,357,79,111,74,210,508,0.5428,0.1204,0.1693,0.0696,0.0529,0.0284,0.1126,84.1,Complete
2026-04-03,JRN004,3230,1552,572,422,404,220,541,0.4808,0.1771,0.1308,0.084,0.0375,0.0668,0.1253,78.8,Complete
2026-04-03,JRN005,618,404,47,42,66,167,491,0.6542,0.077,0.0682,0.0602,0.0389,0.0622,0.1071,82.5,Complete
2026-04-03,JRN006,1854,817,332,175,175,189,420,0.4411,0.1793,0.0947,0.0442,0.0425,0.062,0.0945,85.0,Complete
2026-04-03,JRN007,2044,1138,419,273,270,228,526,0.557,0.2051,0.1337,0.0913,0.0564,0.0787,0.1324,78.7,Late
2026-04-03,JRN008,2258,715,702,177,322,127,454,0.3168,0.3111,0.0784,0.0695,0.0471,0.0139,0.1427,81.4,Complete
2026-04-03,JRN009,1678,547,516,149,241,109,451,0.3261,0.308,0.0892,0.0542,0.0433,0.0689,0.1438,84.4,Complete
2026-04-03,JRN010,1704,796,433,113,189,138,453,0.4676,0.2546,0.0666,0.0496,0.0475,0.0293,0.111,84.0,Complete
2026-04-03,JRN011,2905,1701,394,219,329,151,395,0.5857,0.1356,0.0757,0.0466,0.0625,0.065,0.1134,80.2,Complete
2026-04-03,JRN012,1818,786,396,189,208,146,446,0.4324,0.2179,0.1041,0.0422,0.049,0.0797,0.1145,80.4,Complete
2026-04-03,JRN013,2401,1289,256,368,243,260,502,0.5371,0.1067,0.1534,0.078,0.0399,0.0667,0.1014,78.1,Complete
2026-04-03,JRN014,3937,1328,758,412,483,186,506,0.3375,0.1927,0.1049,0.0685,0.0394,0.0197,0.1228,85.7,Complete
2026-04-03,JRN015,723,324,105,77,70,156,438,0.4486,0.1459,0.1066,0.0694,0.0719,0.0774,0.0971,81.0,Complete
2026-04-03,JRN016,1313,862,214,85,131,149,522,0.6568,0.1636,0.0654,0.064,0.0366,0.03,0.1005,83.7,Complete
2026-04-03,JRN017,2198,1431,301,251,208,146,440,0.6514,0.1373,0.1144,0.0595,0.0463,0.0046,0.0948,82.8,Complete
2026-04-03,JRN018,1394,696,283,127,174,170,440,0.4999,0.2031,0.0914,0.0626,0.0553,0.0683,0.1254,82.0,Complete
2026-04-03,JRN019,3576,2558,424,556,421,227,467,0.7154,0.1186,0.1555,0.0851,0.0586,0.0731,0.1178,79.9,Late
2026-04-03,JRN020,989,495,218,51,123,154,466,0.5014,0.2211,0.0523,0.0554,0.0409,0.078,0.1252,83.9,Complete
2026-04-03,JRN021,3625,1628,693,286,472,190,433,0.4492,0.1912,0.0791,0.0683,0.0516,0.0765,0.1305,80.7,Complete
2026-04-03,JRN022,2943,1094,867,176,371,161,486,0.3718,0.2947,0.0601,0.0506,0.0344,0.0214,0.1262,83.5,Complete
2026-04-03,JRN023,866,297,255,67,109,173,524,0.3433,0.2948,0.0777,0.0682,0.0485,0.0565,0.1267,81.6,Complete
2026-04-03,JRN024,1016,412,184,132,106,240,477,0.4059,0.1816,0.1305,0.0752,0.0473,0.0187,0.1049,82.4,Complete
2026-04-03,JRN025,3220,2140,236,402,333,209,465,0.6647,0.0734,0.1251,0.0786,0.0457,0.0556,0.1037,78.3,Complete
2026-04-03,JRN026,3132,1280,944,159,420,165,445,0.4088,0.3015,0.0509,0.0672,0.033,0.0616,0.1343,84.3,Complete
2026-04-03,JRN027,3776,2221,746,411,434,197,492,0.5883,0.1977,0.1091,0.045,0.0565,0.0602,0.1152,80.3,Complete
2026-04-03,JRN028,2623,894,683,147,314,169,401,0.3411,0.2608,0.0561,0.0625,0.0546,0.0011,0.1198,85.1,Complete
2026-04-03,JRN029,1802,935,351,93,183,189,449,0.5194,0.1951,0.0516,0.0604,0.0389,0.0759,0.102,80.1,Complete
2026-04-03,JRN030,3353,2022,432,485,406,199,554,0.6033,0.129,0.1448,0.0967,0.0401,0.0056,0.1211,82.9,Complete
2026-04-03,JRN031,1259,814,165,73,118,167,403,0.6468,0.1317,0.0581,0.0498,0.0505,0.0098,0.0938,86.8,Complete
2026-04-03,JRN032,3284,1421,690,271,411,168,455,0.433,0.2103,0.0827,0.0683,0.0468,0.063,0.1254,80.2,Complete
2026-04-03,JRN033,1284,930,106,98,109,182,455,0.7245,0.0832,0.0764,0.0665,0.0483,0.0631,0.0852,81.8,Complete
2026-04-03,JRN034,3171,1434,486,418,323,249,536,0.4525,0.1533,0.1319,0.0815,0.0409,0.0633,0.1021,81.1,Complete
2026-04-03,JRN035,2743,1169,315,201,299,228,465,0.4263,0.115,0.0733,0.0684,0.0508,0.0732,0.1092,79.3,Complete
2026-04-03,JRN036,1786,512,424,229,245,296,499,0.287,0.2375,0.1283,0.0732,0.0491,0.0299,0.1373,81.2,Complete
2026-04-03,JRN037,1698,440,456,224,229,205,541,0.2591,0.269,0.1321,0.0893,0.0488,0.0552,0.1353,77.9,Complete
2026-04-03,JRN038,3889,1522,922,391,518,177,485,0.3915,0.2373,0.1008,0.055,0.0556,0.0039,0.1333,83.5,Complete
2026-04-03,JRN039,893,560,104,72,87,166,502,0.6278,0.1172,0.0806,0.0505,0.0498,0.064,0.098,82.2,Complete
2026-04-03,JRN040,4144,1628,1341,542,614,231,552,0.3929,0.3237,0.1308,0.0831,0.0528,0.0749,0.1483,76.5,Complete
2026-04-03,JRN041,4055,2402,387,238,418,158,495,0.5926,0.0955,0.0588,0.0697,0.0386,0.0688,0.1033,80.7,Complete
2026-04-03,JRN042,2671,991,568,408,312,237,506,0.3713,0.213,0.1531,0.0951,0.0401,0.0277,0.117,78.5,Complete
2026-04-04,JRN001,2503,1407,431,316,292,253,514,0.5625,0.1723,0.1264,0.0947,0.0451,0.0693,0.117,78.9,Complete
2026-04-04,JRN002,1017,745,50,95,98,125,543,0.733,0.05,0.0937,0.0549,0.0402,0.0043,0.097,86.4,Complete
2026-04-04,JRN003,467,262,52,63,42,247,572,0.5613,0.1124,0.1359,0.0717,0.0588,0.0042,0.0903,83.3,Complete
2026-04-04,JRN004,2507,1310,526,405,301,262,516,0.5226,0.2102,0.1616,0.096,0.0493,0.0557,0.1204,76.8,Complete
2026-04-04,JRN005,563,375,35,42,53,175,434,0.6672,0.0639,0.0763,0.0425,0.0388,0.0679,0.0949,86.1,Complete
2026-04-04,JRN006,1051,408,171,91,98,140,448,0.3887,0.1634,0.0869,0.052,0.0417,0.0514,0.0932,84.5,Complete
2026-04-04,JRN007,1397,767,315,213,176,250,565,0.5495,0.2258,0.153,0.0863,0.0511,0.0529,0.1264,80.3,Complete
2026-04-04,JRN008,1667,526,500,155,230,142,476,0.316,0.3002,0.0931,0.0422,0.0329,0.0214,0.1385,84.4,Complete
2026-04-04,JRN009,1980,644,529,203,260,209,428,0.3257,0.2675,0.1027,0.0663,0.0462,0.0652,0.1317,81.3,Complete
2026-04-04,JRN010,1424,608,391,78,198,136,440,0.4275,0.2752,0.0549,0.0535,0.0394,0.027,0.1396,85.8,Complete
2026-04-04,JRN011,1524,966,134,79,155,112,402,0.6341,0.0879,0.0523,0.0554,0.0606,0.0716,0.1018,82.2,Complete
2026-04-04,JRN012,1575,622,411,131,184,131,473,0.3955,0.261,0.0836,0.0542,0.0421,0.0624,0.1172,82.8,Complete
2026-04-04,JRN013,2477,1336,345,372,325,205,465,0.5395,0.1393,0.1502,0.0979,0.0435,0.0613,0.1315,78.4,Complete
2026-04-04,JRN014,2638,1060,619,293,297,140,552,0.4021,0.2347,0.1112,0.0489,0.0436,0.0287,0.1126,82.3,Complete
2026-04-04,JRN015,681,327,116,65,70,128,421,0.4811,0.1712,0.0966,0.0578,0.0704,0.0716,0.1038,78.0,Complete
2026-04-04,JRN016,1066,703,161,60,121,130,410,0.6601,0.1511,0.0566,0.0423,0.0549,0.0024,0.1138,87.4,Complete
2026-04-04,JRN017,2187,1431,240,174,246,139,458,0.6546,0.11,0.0799,0.0632,0.0377,0.0015,0.1126,87.2,Complete
2026-04-04,JRN018,1400,650,326,147,150,136,409,0.4647,0.2331,0.1057,0.0451,0.0551,0.0793,0.1074,81.9,Complete
2026-04-04,JRN019,2022,1334,252,258,242,202,512,0.6599,0.125,0.1277,0.0911,0.0637,0.057,0.1199,76.0,Complete
2026-04-04,JRN020,749,391,168,38,97,179,447,0.5224,0.2254,0.0516,0.0661,0.0509,0.0556,0.1308,83.6,Complete
2026-04-04,JRN021,2504,1218,391,238,243,198,431,0.4866,0.1565,0.0954,0.0602,0.0446,0.0767,0.0972,79.7,Complete
2026-04-04,JRN022,2167,872,724,178,305,165,529,0.4028,0.3344,0.0823,0.0414,0.0401,0.0089,0.1408,85.9,Complete
2026-04-04,JRN023,744,226,215,40,90,183,448,0.3045,0.2901,0.0543,0.0705,0.0595,0.0781,0.1223,80.4,Complete
2026-04-04,JRN024,925,338,190,139,118,210,521,0.3657,0.2058,0.1508,0.0758,0.0406,0.0071,0.1279,82.6,Complete
2026-04-04,JRN025,3509,2348,355,539,434,212,463,0.6693,0.1013,0.1537,0.0962,0.0408,0.0566,0.1237,76.7,Complete
2026-04-04,JRN026,2533,1016,835,212,375,132,447,0.4012,0.3299,0.0841,0.0651,0.0518,0.0729,0.1482,80.4,Complete
2026-04-04,JRN027,2535,1677,417,284,259,163,485,0.6616,0.1649,0.1123,0.0681,0.0529,0.0661,0.1024,79.6,Complete
2026-04-04,JRN028,2107,720,655,147,281,121,460,0.342,0.3109,0.07,0.0427,0.0352,0.0125,0.1335,87.6,Complete
2026-04-04,JRN029,1622,723,287,86,156,167,545,0.4463,0.1773,0.0533,0.0537,0.0488,0.0662,0.0967,82.2,Complete
2026-04-04,JRN030,2103,1240,238,275,221,250,479,0.5898,0.1136,0.1311,0.0872,0.0495,0.0289,0.1055,78.7,Complete
2026-04-04,JRN031,1177,808,83,104,88,184,516,0.6867,0.0713,0.0887,0.0446,0.0718,0.0118,0.0755,82.9,Complete
2026-04-04,JRN032,2334,1122,493,192,269,171,486,0.4811,0.2114,0.0824,0.0537,0.0411,0.0569,0.1153,81.2,Complete
2026-04-04,JRN033,1129,808,129,132,119,158,404,0.7164,0.115,0.1171,0.0677,0.0378,0.052,0.1057,80.4,Complete
2026-04-04,JRN034,2284,888,351,330,240,253,508,0.389,0.1541,0.1448,0.0842,0.0501,0.0733,0.1051,76.8,Complete
2026-04-04,JRN035,1769,880,209,158,172,147,410,0.4977,0.1186,0.0894,0.0706,0.0605,0.0624,0.0978,78.8,Late
2026-04-04,JRN036,1134,374,302,144,154,217,489,0.3301,0.2669,0.1271,0.0783,0.0474,0.0114,0.1361,83.6,Complete
2026-04-04,JRN037,1469,374,387,240,191,258,486,0.2547,0.2638,0.1636,0.0723,0.0431,0.0517,0.1301,82.0,Complete
2026-04-04,JRN038,2507,927,589,196,328,179,481,0.3699,0.2351,0.0786,0.0545,0.0409,0.0161,0.1311,84.5,Complete
2026-04-04,JRN039,826,547,97,86,74,167,476,0.6634,0.1181,0.1052,0.0475,0.053,0.0772,0.0907,83.4,Complete
2026-04-04,JRN040,2664,1083,858,423,395,239,563,0.4067,0.3223,0.1589,0.0954,0.0487,0.0711,0.1486,79.1,Complete
2026-04-04,JRN041,2607,1562,395,185,270,151,468,0.5994,0.1518,0.071,0.0651,0.0493,0.0728,0.1036,82.9,Complete
2026-04-04,JRN042,2140,849,541,269,275,234,547,0.3968,0.2529,0.1257,0.0846,0.046,0.0216,0.1287,81.3,Complete
2026-04-05,JRN001,2538,1512,387,404,289,266,506,0.5959,0.1526,0.1594,0.0827,0.0494,0.0722,0.1139,80.9,Complete
2026-04-05,JRN002,704,507,35,80,71,199,476,0.7202,0.05,0.115,0.0707,0.055,0.0157,0.1017,84.9,Complete
2026-04-05,JRN003,623,356,68,82,67,224,577,0.5718,0.1098,0.1318,0.0746,0.0589,0.0018,0.1083,81.9,Complete
2026-04-05,JRN004,2422,1059,446,347,266,195,513,0.4374,0.1843,0.1435,0.0685,0.0493,0.0661,0.1099,81.0,Complete
2026-04-05,JRN005,545,386,45,33,56,159,530,0.7086,0.0837,0.0608,0.0596,0.0381,0.0606,0.103,82.7,Complete
2026-04-05,JRN006,1369,548,277,121,168,192,473,0.4009,0.2028,0.0885,0.0658,0.0339,0.0798,0.1234,81.9,Complete
2026-04-05,JRN007,1267,713,220,206,170,242,576,0.5633,0.1738,0.163,0.0873,0.056,0.0793,0.1349,79.2,Complete
2026-04-05,JRN008,1363,497,405,118,189,150,459,0.3653,0.2977,0.0872,0.0687,0.0484,0.0084,0.1392,81.9,Complete
2026-04-05,JRN009,1795,556,533,200,251,169,510,0.31,0.2974,0.1119,0.0689,0.0392,0.0669,0.1399,81.1,Complete
2026-04-05,JRN010,1165,536,353,99,153,173,494,0.4605,0.3038,0.0856,0.0617,0.0339,0.0224,0.1321,86.6,Complete
2026-04-05,JRN011,1635,1039,228,105,158,145,425,0.6356,0.1398,0.0647,0.06,0.0668,0.0635,0.0968,82.0,Complete
2026-04-05,JRN012,1276,506,304,140,144,131,514,0.3967,0.2386,0.1097,0.0499,0.0379,0.0522,0.1133,85.6,Complete
2026-04-05,JRN013,1964,951,331,284,233,248,471,0.4842,0.169,0.145,0.0908,0.0345,0.0526,0.1189,82.3,Complete
2026-04-05,JRN014,2378,789,536,242,285,163,412,0.3321,0.2258,0.1019,0.0645,0.0527,0.0004,0.1203,83.8,Complete
2026-04-05,JRN015,731,340,135,60,72,161,459,0.4659,0.185,0.0826,0.0491,0.0544,0.0544,0.0998,81.3,Complete
2026-04-05,JRN016,1293,855,210,106,125,181,462,0.6615,0.1631,0.0824,0.0559,0.0468,0.0137,0.0971,82.9,Complete
2026-04-05,JRN017,1652,1063,200,185,172,189,441,0.6436,0.1211,0.1121,0.0605,0.0463,0.009,0.1047,86.1,Complete
2026-04-05,JRN018,1078,507,239,116,124,158,530,0.4708,0.2223,0.1081,0.06,0.0552,0.0735,0.1154,81.4,Complete
2026-04-05,JRN019,2549,1844,299,406,242,227,525,0.7238,0.1176,0.1595,0.0688,0.0655,0.0783,0.095,81.2,Complete
2026-04-05,JRN020,577,301,124,46,59,141,484,0.5233,0.2157,0.0803,0.0452,0.0393,0.0576,0.104,84.2,Complete
2026-04-05,JRN021,2253,1016,445,257,269,148,484,0.4511,0.1976,0.1141,0.0535,0.0329,0.0791,0.1198,80.4,Complete
2026-04-05,JRN022,1793,621,549,143,244,117,404,0.3468,0.3064,0.0799,0.046,0.0467,0.0169,0.1362,86.2,Complete
2026-04-05,JRN023,865,245,240,72,109,153,423,0.2839,0.2775,0.0836,0.0577,0.0645,0.0566,0.1266,80.2,Complete
2026-04-05,JRN024,880,307,206,129,122,221,487,0.3496,0.2348,0.1467,0.0769,0.0541,0.0026,0.1387,83.6,Complete
2026-04-05,JRN025,2883,1820,172,454,298,203,530,0.6313,0.0598,0.1575,0.0816,0.0336,0.0513,0.1034,83.2,Complete
2026-04-05,JRN026,2526,1035,836,210,348,122,498,0.41,0.3311,0.0833,0.0565,0.0452,0.0599,0.1379,81.7,Complete
2026-04-05,JRN027,3154,1938,657,361,339,194,457,0.6146,0.2086,0.1147,0.0545,0.0583,0.0501,0.1076,80.7,Complete
2026-04-05,JRN028,2915,1020,886,216,403,92,485,0.35,0.304,0.0742,0.052,0.0367,0.0034,0.1385,87.1,Complete
2026-04-05,JRN029,1307,596,243,92,159,179,418,0.4563,0.1866,0.0706,0.0462,0.0482,0.074,0.1217,83.4,Complete
